Parietal bone,Easy
Frontal bone,Easy
Occipital bone,Easy
Sphenoid bone,Hard
Temporal bone,Medium
Ethmoid bone,Medium
Inferior nasal concha bone,Medium
Lacrimal bone,Easy
Nasal bone,Easy
Vomer,Medium
Maxilla,Hard
Palatine bone,Medium
Zygomatic bone,Medium
Mandible,Hard
Hyoid bone,Medium
Malleus,Easy
Incus,Easy
Stapes,Easy
Atlas (C1),Medium
Axis (C2),Medium
Vertebra C6,Medium
Vertebra T1,Medium
Vertebra L1,Medium
Sacrum,Medium
Coccyx,Easy
Fifth rib,Medium
Sternum,Easy
Scapula,Medium
Clavicle,Medium
Humerus,Medium
Radius,Medium
Ulna,Medium
Scaphoid bone,Medium
Lunate bone,Medium
Triquetrum bone,Medium
Pisiform bone,Medium
Trapezium bone,Medium
Trapezoid bone,Medium
Capitate bone,Medium
Hamate bone,Medium
Third metacarpal bone,Easy
Proximal phalanx of third finger of hand,Easy
Middle phalanx of third finger of hand,Easy
Distal phalanx of third finger of hand,Easy
Sesamoid bones of hand,Easy
Hip bone,Hard
Femur,Hard
Patella,Easy
Tibia,Medium
Fibula,Medium
Talus,Medium
Calcaneus,Medium
Navicular bone,Medium
Medial cuneiform bone,Medium
Intermediate cuneiform bone,Medium
Lateral cuneiform bone,Medium
Cuboid bone,Medium
Third metatarsal bone,Easy
Proximal phalanx of third finger of foot,Easy
Middle phalanx of third finger of foot,Easy
Distal phalanx of third finger of foot,Easy
